Nome,Porcentagem,Ano que Saiu,Diretor,Data que Saiu,Bilheteria,Tamanho do Filme,Genero,Aonde Assistir
It Follows,95%,2014,David Robert Mitchell,"Mar 27, 2015",,,"Horror,Mystery&thriller","vudu,netflix,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
Pearl,93%,2022,Ti West,"Sep 16, 2022",,,"Horror,Mystery&thriller,Comedy","vudu,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
Suspiria,94%,1977,Dario Argento,"
                                Jul 13, 2017
                            ",Dolby,,"Horror,Mystery&thriller","in-theaters,paramount-plus-us,showtime"
A Girl Walks Home Alone at Night,96%,2014,Ana Lily Amirpour,"
                                Apr 21, 2016
                            ",KinoLorber,,Persian,"vudu,amazon-prime-video-us,apple-tv-us"
Peeping Tom,95%,1960,Michael Powell,"
                                Mar 11, 2017
                            ","AstorPicturesCorporation,20thCenturyFox,ImageEntertainmentInc.",,English,"in-theaters,amazon-prime-video-us,apple-tv-us"
Border,97%,2018,Ali Abbasi,"Oct 26, 2018",,,"Fantasy,Horror,Mystery&thriller,Romance","vudu,apple-tv-us"
Re-Animator,94%,1985,Charles Band,"
                                Nov 1, 2016
                            ",EmpirePictures,,English,vudu
Zombieland,89%,2009,Ruben Fleischer,"Oct 2, 2009",,,"Comedy,Horror","in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Fly,93%,1986,David Cronenberg,"Aug 15, 1986",,,"Horror,Sci-fi","vudu,amazon-prime-video-us,max-us,apple-tv-us"
Nosferatu,95%,1979,Werner Herzog,"Oct 1, 1979","AnchorBayEntertainment,20thCenturyFox",,Horror,"in-theaters,peacock,amazon-prime-video-us,apple-tv-us"
M3GAN,93%,2022,Gerard Johnstone,"Jan 6, 2023",,,"Horror,Mystery&thriller,Sci-fi","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Godzilla,93%,1954,Tomoyuki Tanaka,"
                                Apr 20, 2014
                            ","TohoCompanyLtd.,JewellEnterprises",,Japanese,"amazon-prime-video-us,max-us,apple-tv-us"
Under the Shadow,99%,2016,Babak Anvari,"Oct 7, 2016",,,"Horror,Mystery&thriller","vudu,netflix,amazon-prime-video-us,apple-tv-us"
Prey,94%,2022,Dan Trachtenberg,"
                                Aug 5, 2022
                            ",DolbyAtmos,,"Action,Adventure,Sci-fi",hulu
A Nightmare on Elm Street,95%,1984,Wes Craven,"Nov 9, 1984",,,Horror,"in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Night of the Hunter,93%,1955,Paul Gregory,"
                                Jan 16, 2011
                            ","UnitedArtists,PaulGregoryProductions",,English,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Innocents,95%,1961,Jack Clayton,"
                                Nov 19, 2016
                            ","TwentiethCenturyFox,Achilles",,English,
Repulsion,95%,1965,Gene Gutowski,"
                                1h 45m
                            ",35mm,,English,"vudu,amazon-prime-video-us,apple-tv-us"
Talk to Me,94%,2023,Danny Philippou,"Jul 28, 2023",,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Freaks,95%,1932,Tod Browning,"
                                Oct 18, 2010
                            ",MetroGoldwynMayer,,English,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Vampyr,98%,1932,Carl Theodor Dreyer,"
                                Jan 20, 2017
                            ",TobisFilmkunst,,German,"amazon-prime-video-us,max-us,apple-tv-us"
Frankenstein,94%,1931,Carl Laemmle Jr.,"
                                Apr 19, 2016
                            ",UniversalPictures,,English,"in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
Eyes Without a Face,97%,1960,Jules Borkon,"
                                Oct 29, 2016
                            ","UnitedArtists,LopertPicturesCorp.,RialtoPictures",,French(Canada),"amazon-prime-video-us,max-us,apple-tv-us"
Tigers Are Not Afraid,97%,2017,Marco Polo Constandse,"
                                Dec 3, 2019
                            ",FilmadoraNacional,,Spanish,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Devil's Backbone,93%,2001,Guillermo del Toro,"
                                Oct 2, 2012
                            ",SonyPicturesClassics,,"Mystery&thriller,Drama,Horror","vudu,amazon-prime-video-us,apple-tv-us"
The Ring,98%,1998,Takashige Ichise,"
                                Oct 21, 2019
                            ","OmegaProject,KadokawaShotenPublishingCo.",,Japanese,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Babadook,98%,2014,Kristina Ceyton,"
                                Nov 5, 2015
                            ",IFCFilms,,English(Australia),"vudu,hulu,amazon-prime-video-us,apple-tv-us"
A Quiet Place Part II,91%,2021,John Krasinski,"May 28, 2021",,,"Horror,Sci-fi,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
Night of the Living Dead,95%,1968,Karl Hardman,"
                                Oct 13, 2017
                            ",,,English,"in-theaters,vudu,peacock,amazon-prime-video-us"
The Wailing,99%,2016,Na Hong-jin,,"20thCenturyFoxInternational,IvanhoePictures,SideMirror",,Korean,"vudu,peacock,amazon-prime-video-us,apple-tv-us"
Nosferatu,97%,1922,Enrico Dieckmann,"
                                Jul 15, 2008
                            ",Jofa-AtelierBerlin-Johannisthal,,German,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Bride of Frankenstein,98%,1935,Carl Laemmle Jr.,"
                                May 8, 2015
                            ",UniversalPictures,,English,"in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Cabinet of Dr. Caligari,96%,1919,Rudolf Meinert,"
                                Mar 22, 2016
                            ",Decla-BioscopAG,,German,"in-theaters,amazon-prime-video-us,apple-tv-us"
Train to Busan,95%,2016,Lee Dong-ha,"
                                Dec 6, 2016
                            ",WellGoUSA,,Korean,"in-theaters,vudu,peacock,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
